#solver	iter	latency-throughput
		5. : 0.580820874653
		6. : 0.635987835671
		7. : 0.649074435741
		8. : 0.650066689868
		9. : 0.650290648302
		10. : 0.652018945516
		11. : 0.652018945516
semimcfvlb	3	
		1. : 0.127535805389
		2. : 0.22255462129
		3. : 0.333454771294
		4. : 0.449779370556
		5. : 0.531074773683
		6. : 0.586402452921
		7. : 0.604011066247
		8. : 0.607080116391
		9. : 0.611387224028
		10. : 0.611387224028
		11. : 0.611387224028
semimcfvlb	4	
		1. : 0.122641100249
		2. : 0.219375603026
		3. : 0.333728209214
		4. : 0.428519466811
		5. : 0.532732650512
		6. : 0.600472191772
		7. : 0.619074293864
		8. : 0.620531884921
		9. : 0.622745847341
		10. : 0.624722094494
semimcfvlb	5	
		1. : 0.123559078555
		2. : 0.226813779899
		3. : 0.351990211327
		4. : 0.453055261255
		5. : 0.55194130177
		6. : 0.612926373846
		7. : 0.635958194154
		8. : 0.636140927946
		9. : 0.636441580971
		10. : 0.63712167615
		11. : 0.63712167615
semimcfvlb	6	
		1. : 0.133896962496
		2. : 0.24838426744
		3. : 0.362141851786
		4. : 0.477141687018
		5. : 0.5688272288
		6. : 0.621716126487
		7. : 0.634209410224
		8. : 0.639364958669
		9. : 0.639364958669
		10. : 0.639762673304
		11. : 0.640131317733
semimcfvlb	7	
		1. : 0.127764451575
		2. : 0.235284952346
		3. : 0.351430704592
		4. : 0.470100642825
		5. : 0.557714942968
		6. : 0.619259378819
		7. : 0.635067515111
		8. : 0.637644124112
		9. : 0.6386842825
		10. : 0.63950595934
		11. : 0.63960175312
semimcfvlb	8	
		1. : 0.136682513558
		2. : 0.252475372098
		3. : 0.367823016946
		4. : 0.478981695732
		5. : 0.568875450834
		6. : 0.618194762083
		7. : 0.636424878703
		8. : 0.643336489137
		9. : 0.643917268842
		10. : 0.64408499956
		11. : 0.644232142791
semimcfvlb	9	
		1. : 0.124915688572
		2. : 0.217985782653
		3. : 0.337866791898
		4. : 0.447583222567
		5. : 0.559056799293
