#solver	iter	latency-throughput
vlb	6	
		1. : 0.193480539898
		2. : 0.364630996065
		3. : 0.540351887422
		4. : 0.693937850423
		5. : 0.810136425264
		6. : 0.881799724684
		7. : 0.894604296638
		8. : 0.901211541886
		9. : 0.903207475708
		10. : 0.903676032529
vlb	7	
		1. : 0.197616726766
		2. : 0.364685497839
		3. : 0.538481617313
		4. : 0.69187290352
		5. : 0.806147812614
		6. : 0.889075787818
		7. : 0.903027809703
		8. : 0.908321759621
		9. : 0.910164589535
		10. : 0.911050982905
vlb	8	
		1. : 0.193682266287
		2. : 0.361373938794
		3. : 0.536959224241
		4. : 0.692344687136
		5. : 0.807169909957
		6. : 0.883780929052
		7. : 0.899741939608
		8. : 0.905306219149
		9. : 0.907885631486
		10. : 0.90799201044
vlb	9	
		1. : 0.196931678841
		2. : 0.36272590692
		3. : 0.532633509256
		4. : 0.691514505678
		5. : 0.797551467097
		6. : 0.876190848522
		7. : 0.891332350843
		8. : 0.899266656933
		9. : 0.90169842495
		10. : 0.901769320253

