# solver	iter	mean-congestion	stddev
mcf	78	0.003348	0.000000
mcf	79	0.003489	0.000000
mcf	80	0.003583	0.000000
mcf	81	0.003756	0.000000
mcf	82	0.003908	0.000000
mcf	83	0.003686	0.000000
mcf	84	0.003410	0.000000
mcf	85	0.003653	0.000000
mcf	86	0.003919	0.000000
mcf	87	0.003773	0.000000
mcf	88	0.004052	0.000000
mcf	89	0.003831	0.000000
mcf	90	0.003804	0.000000
mcf	91	0.003949	0.000000
mcf	92	0.003839	0.000000
mcf	93	0.003716	0.000000
mcf	94	0.003837	0.000000
mcf	95	0.003848	0.000000
mcf	96	0.003699	0.000000
mcf	97	0.003871	0.000000
mcf	98	0.003869	0.000000
mcf	99	0.004115	0.000000
mwmcf	0	0.001719	0.000000
mwmcf	1	0.001729	0.000000
mwmcf	2	0.001870	0.000000
mwmcf	3	0.001743	0.000000
mwmcf	4	0.001929	0.000000
mwmcf	5	0.001876	0.000000
mwmcf	6	0.001620	0.000000
mwmcf	7	0.001599	0.000000
mwmcf	8	0.001782	0.000000
mwmcf	9	0.001796	0.000000
mwmcf	10	0.001903	0.000000
mwmcf	11	0.001745	0.000000
mwmcf	12	0.001646	0.000000
mwmcf	13	0.001689	0.000000
mwmcf	14	0.001708	0.000000
mwmcf	15	0.001734	0.000000
mwmcf	16	0.001828	0.000000
mwmcf	17	0.001700	0.000000
mwmcf	18	0.001643	0.000000
mwmcf	19	0.001697	0.000000
mwmcf	20	0.001833	0.000000
mwmcf	21	0.001789	0.000000
mwmcf	22	0.001861	0.000000
mwmcf	23	0.001788	0.000000
mwmcf	24	0.001772	0.000000
mwmcf	25	0.001818	0.000000
mwmcf	26	0.001727	0.000000
mwmcf	27	0.001690	0.000000
mwmcf	28	0.001858	0.000000
mwmcf	29	0.001767	0.000000
mwmcf	30	0.001668	0.000000
mwmcf	31	0.001702	0.000000
mwmcf	32	0.001849	0.000000
mwmcf	33	0.001683	0.000000
mwmcf	34	0.001890	0.000000
mwmcf	35	0.001898	0.000000
mwmcf	36	0.001843	0.000000
