#solver	iter	latency-throughput
		3. : 0.636231568707
		4. : 0.704437114008
		5. : 0.922640751221
		6. : 1.
semimcfecmp	5	
		1. : 0.17385441022
		2. : 0.338093238444
		3. : 0.63531206498
		4. : 0.702205402536
		5. : 0.922679325631
		6. : 1.
semimcfecmp	6	
		1. : 0.173727571892
		2. : 0.33868445144
		3. : 0.634974408117
		4. : 0.701340525562
		5. : 0.923492722968
		6. : 1.
semimcfecmp	7	
		1. : 0.169786256706
		2. : 0.334401626255
		3. : 0.633036257592
		4. : 0.698569217429
		5. : 0.922665303958
		6. : 1.
semimcfecmp	8	
		1. : 0.168639093096
		2. : 0.33420236985
		3. : 0.633801690748
		4. : 0.69905836355
		5. : 0.922741694328
		6. : 1.
semimcfecmp	9	
		1. : 0.171958906008
		2. : 0.332557321642
		3. : 0.632624732329
		4. : 0.698601743706
		5. : 0.91526151351
		6. : 0.993756400684
semimcfecmp	10	
		1. : 0.170871739504
		2. : 0.331244336604
		3. : 0.63266790301
		4. : 0.698332765257
		5. : 0.906179418732
		6. : 0.984521562848
semimcfecmp	11	
		1. : 0.170433060953
		2. : 0.332492388557
		3. : 0.6324784346
		4. : 0.699094471944
		5. : 0.898431207335
		6. : 0.976455991412
semimcfecmp	12	
		1. : 0.170161843066
		2. : 0.333562349574
		3. : 0.633566207144
		4. : 0.700013075936
		5. : 0.866064908354
		6. : 0.944275104108
semimcfecmp	13	
		1. : 0.174569187538
		2. : 0.334690870707
		3. : 0.633540117068
		4. : 0.700866715173
		5. : 0.857882594205
		6. : 0.935406384413
semimcfecmp	14	
		1. : 0.174036514875
		2. : 0.33791170063
		3. : 0.635206211832
		4. : 0.70338472607
		5. : 0.853554431515
		6. : 0.930835229787
semimcfecmp	15	
		1. : 0.1747979111
		2. : 0.340247593662
		3. : 0.638048645529
		4. : 0.704121234054
		5. : 0.907076957189
		6. : 0.982612449475
semimcfecmp	16	
		1. : 0.174629067576
		2. : 0.336030699872
		3. : 0.636230565006
		4. : 0.702270585231
		5. : 0.908888804178
		6. : 0.985065906694
semimcfecmp	17	
		1. : 0.174545914638
		2. : 0.336005844268
		3. : 0.634958466209
		4. : 0.700951825682
		5. : 0.843896174706
		6. : 0.919874780668
semimcfecmp	18	
		1. : 0.174551433095
		2. : 0.334538957044
		3. : 0.629455854235
		4. : 0.694835809604
		5. : 0.833598583698
		6. : 0.909587913277
semimcfecmp	19	
		1. : 0.170840051715
		2. : 0.330516907598
		3. : 0.620362447306
		4. : 0.685611796613
		5. : 0.818224382777
		6. : 0.894929005957
semimcfecmp	20	
		1. : 0.17042869147
		2. : 0.330057176557
		3. : 0.616290574801
		4. : 0.681637698108
		5. : 0.811913855146
		6. : 0.888391396864
semimcfecmp	21	
		1. : 0.17158097048
		2. : 0.332433320417
		3. : 0.632567163796
		4. : 0.697819036906
		5. : 0.841109973641
		6. : 0.917060470569
semimcfecmp	22	
		1. : 0.171723039594
		2. : 0.335162076162
		3. : 0.622331064924
		4. : 0.68729515408
		5. : 0.815280422939
		6. : 0.891112717659
semimcfecmp	23	
		1. : 0.171296070161
		2. : 0.334703828105
		3. : 0.619738237192
		4. : 0.684686686851
		5. : 0.809543873052
